object_count,distribution_type,method_name,collision_count,candidate_pair_count,kernel_time_ms,total_time_ms,speedup_vs_cpu,grid_cell_size,max_objects_in_cell,avg_objects_per_non_empty_cell,dense_cell_count
1000,uniform,cpu_brute_force,19,499500,0.648500,0.648500,1.000000,0.00,0,0.000000,0
1000,uniform,cuda_brute_force,19,499500,0.287008,103.354200,0.006275,0.00,0,0.000000,0
1000,uniform,cuda_uniform_grid,19,122,0.168992,1.145800,0.565980,5.00,2,1.012146,0
1000,uniform,cuda_uniform_grid,19,438,0.268608,1.290800,0.502402,10.00,3,1.053741,0
1000,uniform,cuda_uniform_grid,19,1741,0.160768,0.879400,0.737435,20.00,4,1.206273,0
1000,uniform,cuda_uniform_grid,19,6846,0.127040,0.700200,0.926164,40.00,6,1.949318,0
1000,uniform,cuda_lbvh,19,22,0.213536,0.755300,0.858599,0.00,0,0.000000,0
1000,clustered,cpu_brute_force,2916,499500,0.722300,0.722300,1.000000,0.00,0,0.000000,0
1000,clustered,cuda_brute_force,2916,499500,0.137312,0.773300,0.934049,0.00,0,0.000000,0
1000,clustered,cuda_uniform_grid,2916,17818,0.159808,0.928600,0.777838,5.00,39,2.652520,0
1000,clustered,cuda_uniform_grid,2916,58477,0.198304,0.788000,0.916624,10.00,79,7.936508,0
1000,clustered,cuda_uniform_grid,2916,178313,0.269952,0.864700,0.835319,20.00,145,26.315789,1
1000,clustered,cuda_uniform_grid,2916,404012,0.386784,0.966200,0.747568,40.00,311,71.428571,2
1000,clustered,cuda_lbvh,2916,3550,0.376768,0.918200,0.786648,0.00,0,0.000000,0
5000,uniform,cpu_brute_force,363,12497500,14.941000,14.941000,1.000000,0.00,0,0.000000,0
5000,uniform,cuda_brute_force,363,12497500,1.278048,2.611300,5.721671,0.00,0,0.000000,0
5000,uniform,cuda_uniform_grid,363,2827,0.934176,2.039700,7.325097,5.00,3,1.068604,0
5000,uniform,cuda_uniform_grid,363,11164,0.453408,1.129200,13.231492,10.00,4,1.278772,0
